HOST	NAME	DATATYPE	ADDRESS	COMMENT	TAGLINK	RW	POU
	IN_GX_8	BOOL	ECAT://node#1/Read input 1st word/In Bit08		TRUE	RW	
	IN_GX_9	BOOL	ECAT://node#1/Read input 1st word/In Bit09		TRUE	RW	
	IN_GX_10	BOOL	ECAT://node#1/Read input 1st word/In Bit10		TRUE	RW	
	IN_GX_11	BOOL	ECAT://node#1/Read input 1st word/In Bit11		TRUE	RW	
	IN_GX_12	BOOL	ECAT://node#1/Read input 1st word/In Bit12		TRUE	RW	
	IN_GX_13	BOOL	ECAT://node#1/Read input 1st word/In Bit13		TRUE	RW	
	IN_GX_14	BOOL	ECAT://node#1/Read input 1st word/In Bit14		TRUE	RW	
	IN_GX_15	BOOL	ECAT://node#1/Read input 1st word/In Bit15		TRUE	RW	
	REGISTER_IN_GX	WORD	ECAT://node#1/Read input 1st word		TRUE	RW	
	DONG_CO_A1	BOOL	BuiltInIO://cpu/#0/Output_Bit_01		TRUE	RW	
	DONG_CO_A2	BOOL	BuiltInIO://cpu/#0/Output_Bit_02		TRUE	RW	
	START_HMI_2	BOOL			TRUE	RW	
	STOP_HMI_2	BOOL			TRUE	RW	
	OD4256_REGISTER	BYTE	ECAT://node#[86,2]/Output Bit 8 bits		TRUE	RW	
	OD5121_REGISTER	WORD	ECAT://node#[86,1]/Output Bit 16 bits		TRUE	RW	
	SS1_START_1	BOOL			TRUE	RW	
	SS1_STOP_1	BOOL			TRUE	RW	
	SS1_LEFT_1	BOOL			TRUE	RW	
	SS1_RIGHT_1	BOOL			TRUE	RW	
	SS1_DC_THUAN_1	BOOL	BuiltInIO://cpu/#0/Output_Bit_03		TRUE	RW	
	SS1_DC_NGHICH_1	BOOL	BuiltInIO://cpu/#0/Output_Bit_04		TRUE	RW	
	SS1_M4	BOOL			TRUE	RW	
